steps,time,reward,delta,converged
1,0.01684799999999953,1.1194551871559837,0.10622485871518939,False
2,0.023787000000002223,1.5416254545926664,5.2694626634114e-06,False
3,0.022915999999998604,1.541635584624082,5.2695084786257614e-06,False
4,0.02273800000000037,1.54163575210797,5.269508478752179e-06,False
5,0.02279699999999707,1.541635584624082,5.2695084786257614e-06,False
6,0.023357999999998214,1.54163575210797,5.269508478752179e-06,False
7,0.02371300000000076,1.541635584624082,5.2695084786257614e-06,False
8,0.05042100000000005,1.54163575210797,5.269508478752179e-06,False
9,0.04049799999999948,1.541635584624082,5.2695084786257614e-06,False
10,0.02854300000000265,1.54163575210797,5.269508478752179e-06,False
11,0.024179000000000173,1.541635584624082,5.2695084786257614e-06,False
12,0.023310000000002162,1.54163575210797,5.269508478752179e-06,True
