params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",7.466681000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",7.861756999999997,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",7.636168000000005,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",8.464509000000007,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",7.828008999999994,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",8.234862000000007,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",7.824679000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",8.395753999999997,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",8.718113000000002,100,0.0003063286269754047,0.0,0.0,0.004524886877828055,0.0010144290135035725
"{""discount_factor"": 0.9}",9.599366000000003,100,0.0011776179301712323,0.0,0.0,0.010638297872340425,0.002511015230633387
