episode,length,time,reward,delta
0,500.0,0.05115399999976944,-2877.0,-0.898385268673124
1,500.0,0.05033300000013696,-2976.0,-0.9801
2,500.0,0.050358999999843945,-2976.0,-0.97119
3,416.0,0.041783000000577886,-1900.0,100.0
4,500.0,0.05007799999930285,-3075.0,-0.15038967058393382
5,500.0,0.0508639999998195,-2877.0,-0.392754920256706
6,123.0,0.012370999999802734,-419.0,90.0
7,500.0,0.04995299999973213,-2976.0,-0.639012923099807
8,44.0,0.004507999999987078,56.0,81.0
9,82.0,0.00821899999937159,-180.0,72.9
10,263.0,0.0262429999993401,-1252.0,65.61
11,270.0,0.02684899999985646,-1457.0,59.049
12,59.0,0.006000999999741907,-58.0,53.1441
13,81.0,0.008186000000023341,-179.0,47.82969
14,377.0,0.03776400000060676,-1960.0,43.046721
15,77.0,0.007947000000058324,-274.0,38.7420489
16,184.0,0.02006100000016886,-975.0,34.86784401
17,17.0,0.0018270000000484288,-16.0,31.381059609000005
18,35.0,0.0036090000003241585,65.0,28.2429536481
19,161.0,0.016110000000480795,-556.0,25.41865828329
20,35.0,0.0035950000001321314,-34.0,22.876792454961006
21,134.0,0.013434999999844877,-529.0,20.589113209464898
22,182.0,0.01846399999976711,-874.0,18.530201888518405
23,66.0,0.006664999999884458,-263.0,16.677181699666562
24,16.0,0.0017169999991892837,84.0,15.0094635296999
25,22.0,0.002290000000357395,78.0,13.50851717672991
26,16.0,0.001706999999441905,84.0,12.157665459056915
27,83.0,0.00833500000044296,-379.0,10.94189891315122
28,42.0,0.004297999999835156,-140.0,9.847709021836096
29,33.0,0.003410000000258151,67.0,8.862938119652483
30,42.0,0.004264000000148371,-140.0,7.976644307687238
31,56.0,0.005661999999574618,-154.0,7.178979876918518
32,121.0,0.012067999999999302,-417.0,6.461081889226662
33,14.0,0.0015059999996083206,86.0,5.8149737003039945
34,19.0,0.00200700000004872,81.0,5.233476330273589
35,62.0,0.00624100000004546,-160.0,4.710128697246233
36,42.0,0.004293999999390508,-140.0,4.239115827521616
37,25.0,0.0025940000004993635,75.0,3.815204244769461
38,21.0,0.0021940000005997717,79.0,3.433683820292515
39,17.0,0.0018059999993056408,83.0,3.0903154382632607
40,18.0,0.0019059999995079124,82.0,2.781283894436939
41,121.0,0.012114000000110536,-714.0,2.503155504993245
42,15.0,0.0016300000006594928,85.0,2.252839954493922
43,25.0,0.0026250000000800355,-24.0,2.027555959044534
44,27.0,0.0028110000002925517,73.0,1.8248003631400849
45,21.0,0.0022109999999884167,-20.0,1.6423203268260806
46,21.0,0.0024769999999989523,79.0,1.4780882941434754
47,33.0,0.0034059999998135027,-32.0,1.3302794647291307
48,19.0,0.0019949999996242695,81.0,1.1972515182562233
49,16.0,0.00171299999965413,84.0,1.0775263664306038
50,26.0,0.0026760000000649597,74.0,0.9697737297875477
51,21.0,0.0021809999998367857,79.0,0.8727963568087915
52,17.0,0.0017900000002555316,83.0,0.7855167211279195
53,34.0,0.003468000000793836,-33.0,0.7069650490151247
54,18.0,0.0018909999998868443,-17.0,0.6362685441136193
55,68.0,0.006782000000384869,-265.0,0.5726416897022517
56,25.0,0.0025789999999688007,-24.0,0.5153775207320308
57,16.0,0.0016859999996086117,84.0,0.46383976865882914
58,62.0,0.006169999999656284,-457.0,0.41745579179294623
59,21.0,0.002177000000301632,-20.0,0.37571021261365445
