params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",14.618093000000044,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",11.300862000000052,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",7.333060999999816,100,3.04,5.733333333333333,-1.0,5.733333333333333,3.2986461869480133
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",7.413641999999982,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.342338768653538
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.693119999999908,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.54413599999998,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.409646000000066,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.412018999999873,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.361128999999892,100,2.1646666666666667,-1.0,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.318463999999949,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",55.7371619999999,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",7.989108999999644,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",7.162911000000349,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.203766000000087,100,5.337254901960786,5.337254901960785,4.9411764705882355,5.733333333333333,0.396078431372549
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.114588000000367,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.7455549999999675,100,5.321411764705885,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808553
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.784580999999889,100,1.5586666666666664,-1.0,-1.0,5.733333333333333,3.2682687228017904
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.699141999999938,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.588129000000208,100,2.6359999999999997,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.475324999999884,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",14.717482000000018,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",8.243638999999803,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",7.1264719999999215,100,2.501333333333333,5.733333333333333,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",7.151313999999729,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.360601202827322
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.926155999999992,100,2.3666666666666663,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.935026999999991,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.820791000000099,100,5.305568627450982,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",7.001391999999669,100,5.353098039215688,5.733333333333333,4.9411764705882355,5.733333333333333,0.39576144178085526
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.876296999999795,100,5.384784313725492,5.733333333333333,4.9411764705882355,5.733333333333333,0.3932163257239455
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.743746000000101,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",58.752570000000105,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",12.986728999999741,100,1.8953333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",9.43842500000028,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",7.882597999999689,100,5.345176470588236,5.733333333333333,4.9411764705882355,5.733333333333333,0.3959992077631211
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.766877999999906,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",7.16672299999982,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",7.801579999999831,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.361981000000014,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.49351200000001,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.541337000000112,100,2.568666666666666,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",57.571730000000116,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",8.241348000000016,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",7.3992669999997815,100,2.1646666666666667,-1.0,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.921839999999975,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.964042999999947,100,1.6933333333333334,-1.0,-1.0,5.733333333333333,3.298646186948013
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.623344000000088,100,2.972666666666667,5.733333333333333,-1.0,5.733333333333333,3.3116775876350713
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.860878999999841,100,5.384784313725492,5.733333333333333,4.9411764705882355,5.733333333333333,0.39321632572394544
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.666880000000219,100,1.8279999999999998,-1.0,-1.0,5.733333333333333,3.3232939482788257
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.6990020000002914,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.261580000000322,100,2.3666666666666667,2.3666666666666667,-1.0,5.733333333333333,3.3666666666666667
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",56.604073999999855,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",7.848985999999968,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.694738999999572,100,5.2976470588235305,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39409306332458266
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",7.533346000000165,100,1.8279999999999998,-1.0,-1.0,5.733333333333333,3.3232939482788257
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.094815000000381,100,5.337254901960786,5.337254901960785,4.9411764705882355,5.733333333333333,0.39607843137254894
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",7.141407000000072,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.981588999999985,100,1.8279999999999998,-1.0,-1.0,5.733333333333333,3.3232939482788257
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.733647000000019,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.360601202827322
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.935739999999896,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": 0}",6.823833000000377,100,1.8279999999999998,-1.0,-1.0,5.733333333333333,3.3232939482788257
"{""discount_factor"": 0.0, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",56.286693000000014,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.569794000000002,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.342338768653538
"{""discount_factor"": 0.2, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.226722999999765,100,5.305568627450981,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.3, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.091081999999915,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.4, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.270830999999816,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.5, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.155300999999781,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.6, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.573174000000108,100,1.895333333333333,-1.0,-1.0,5.733333333333333,3.3335100619817153
"{""discount_factor"": 0.7, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.885494999999537,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.342338768653538
"{""discount_factor"": 0.8, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.88532799999939,100,2.501333333333333,5.733333333333333,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.9, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.836989000000358,100,5.392705882352941,5.733333333333333,4.9411764705882355,5.733333333333333,0.39217765435078983
"{""discount_factor"": 0.0, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",13.078179000000091,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.547972999999729,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.3423387686535375
"{""discount_factor"": 0.2, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.774725000000217,100,1.6933333333333331,-1.0,-1.0,5.733333333333333,3.298646186948013
"{""discount_factor"": 0.3, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.426656000000548,100,2.7033333333333336,5.733333333333333,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.4, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.583109999999579,100,5.337254901960785,5.337254901960785,4.9411764705882355,5.733333333333333,0.39607843137254894
"{""discount_factor"": 0.5, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.1697149999999965,100,5.321411764705883,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3957614417808552
"{""discount_factor"": 0.6, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.869614999999612,100,2.568666666666666,5.733333333333333,-1.0,5.733333333333333,3.360601202827322
"{""discount_factor"": 0.7, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.827888999999232,100,5.376862745098041,5.733333333333333,4.9411764705882355,5.733333333333333,0.39409306332458266
"{""discount_factor"": 0.8, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.622591999999713,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.9, ""alpha"": 0.5, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.651060999999572,100,2.299333333333333,-1.0,-1.0,5.733333333333333,3.3659932659865293
"{""discount_factor"": 0.0, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.902438999999504,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.0649909999992815,100,5.329333333333334,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39599920776312103
"{""discount_factor"": 0.2, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.542371999999887,100,3.2420000000000004,5.733333333333333,-1.0,5.733333333333333,3.2508823417650787
"{""discount_factor"": 0.3, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.766113000000587,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.4, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.717607999999927,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.3659932659865297
"{""discount_factor"": 0.5, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.070921999999882,100,5.345176470588237,5.733333333333333,4.9411764705882355,5.733333333333333,0.3959992077631211
"{""discount_factor"": 0.6, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.642006000000038,100,5.289725490196079,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39321632572394555
"{""discount_factor"": 0.7, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.01768600000014,100,2.03,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.8, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.608112000000801,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.9, ""alpha"": 0.5, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",5.694321999999374,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.0, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",48.527202999999645,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.463351999999759,100,2.9053333333333335,5.733333333333333,-1.0,5.733333333333333,3.3232939482788257
"{""discount_factor"": 0.2, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.295539999999164,100,2.097333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.3, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.17752500000006,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.3558760406189014
"{""discount_factor"": 0.4, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.297474999999395,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""discount_factor"": 0.5, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.186932999999954,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""discount_factor"": 0.6, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.159953999999743,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.3606012028273224
"{""discount_factor"": 0.7, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.325687000000471,100,2.2319999999999998,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""discount_factor"": 0.8, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.194786999999451,100,2.0299999999999994,-1.0,-1.0,5.733333333333333,3.349791038258954
"{""discount_factor"": 0.9, ""alpha"": 0.5, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",5.205291000000216,100,1.9626666666666663,-1.0,-1.0,5.733333333333333,3.3423387686535375
