steps,time,reward,delta,converged
1,0.005031000000030872,0.0,0,False
2,0.008137000000033368,0.0,0,False
3,0.0006559999999353749,0.0,0,False
4,0.001706000000012864,0.0,0,False
5,0.0022010000000136642,0.0,0,False
6,0.002970000000004802,0.0,0,False
7,0.0013539999999920838,0.0,0,False
8,0.009688999999980297,0.0,0,False
9,0.0013540000001057706,0.0,0,False
10,0.008270000000038635,0.0,0,False
11,0.007848000000080901,0.0,0,False
12,0.0024990000000570944,0.0,0,False
13,0.006700000000023465,0.0,0,False
14,0.0014380000000073778,0.0,0,False
15,0.002701999999999316,0.0,0,False
16,0.011270000000081382,0.0,0,False
17,0.0010019999999713036,0.0,0,False
18,0.003936999999950785,0.0,0,False
19,0.005050999999980377,0.0,0,False
20,0.0016000000000531145,0.0,0,False
21,0.001192000000060034,0.0,0,False
22,0.0064640000000508735,0.0,0,False
23,0.007534999999961656,0.0,0,False
24,0.0012520000000222353,0.0,0,False
25,0.007904000000053202,0.0,0,False
26,0.0070120000000315486,0.0,0,False
27,0.00403500000004442,0.0,0,False
28,0.0025669999999990978,0.0,0,False
29,0.004606999999964501,0.0,0,False
30,0.007910999999921842,0.0,0,False
31,0.004648999999972148,0.0,0,False
32,0.0016909999999370484,0.0,0,False
33,0.006884000000013657,0.0,0,False
34,0.005567000000041844,0.0,0,False
35,0.001439000000004853,0.0,0,False
36,0.008027999999967506,0.0,0,False
37,0.009718000000020766,0.0,0,False
38,0.004947000000015578,0.0,0,False
39,0.0028260000000273067,0.0,0,False
40,0.0035060000000157743,0.0,0,False
41,0.006023000000027423,0.0,0,False
42,0.0034190000000080545,0.0,0,False
43,0.002651000000014392,0.0,0,False
44,0.0019590000000562213,0.0,0,False
45,0.019145999999977903,0.0,0,False
46,0.009636000000000422,0.0,0,False
47,0.0018019999999978609,0.0,0,False
48,0.010663000000022294,0.0,0,False
49,0.009869999999978063,0.0,0,False
50,0.0020499999999401552,0.0,0,False
51,0.017200000000002547,0.0,0,False
52,0.001966000000038548,0.0,0,False
53,0.004551000000105887,0.0,0,False
54,0.0051170000000411164,0.0,0,False
55,0.0012600000000020373,0.0,0,False
56,0.001752000000010412,0.0,0,False
57,0.0022950000000037107,0.0,0,False
58,0.01767199999994773,0.0,0,False
59,0.0026580000001104054,0.0,0,False
60,0.004806000000030508,0.0,0,False
61,0.019915999999966516,0.0,0,False
62,0.0052010000000564105,0.0,0,False
63,0.0031560000001036315,0.0,0,False
64,0.008119999999962602,0.0,0,False
65,0.01446099999998296,0.0,0,False
66,0.009359999999901447,0.0,0,False
67,0.006570000000010623,0.0,0,False
68,0.015319000000090455,0.0,0,False
69,0.0035750000000689397,0.0,0,False
70,0.0036039999999957217,0.0,0,False
71,0.0073789999999007705,0.0,0,False
72,0.007812999999941894,0.0,0,False
73,0.0015039999999544307,0.0,0,False
74,0.004501000000004751,0.0,0,False
75,0.005991999999992004,0.0,0,False
76,0.006353999999987536,0.0,0,False
77,0.004756000000043059,0.0,0,False
78,0.010383999999930893,0.0,0,False
79,0.010517999999933636,0.0,0,False
80,0.009480999999937012,0.0,0,False
81,0.007694000000014967,0.0,0,False
82,0.018584999999916363,0.0,0,False
83,0.007076999999981126,0.0,0,False
84,0.0011690000000044165,0.0,0,False
