params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",6.07558499999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.701026999999954,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.613319999999987,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.64944799999995,100,0.00047646057855927395,0.0,0.0,0.024390243902439025,0.0033361885617686905
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.497029999999995,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.501989999999978,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.509249000000011,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.444540000000018,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.440904999999987,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.430435999999986,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",3.0329639999999927,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",4.844538,100,0.0,0.0,0.0,0.0,0.0
