params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",8.295855999999958,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",8.168427999999949,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.648785000000089,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.655880000000025,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",16.175770000000057,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",14.474611000000095,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",13.042150999999876,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.454371000000037,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.603796999999986,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",14.886102000000164,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",8.481273999999985,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",8.18106499999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.511092999999846,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.66620499999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.904633999999987,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",14.098917999999912,100,0.0,0.0,0.0,0.0,0.0
