steps,time,reward,delta,converged
1,0.0017930000000205837,0.6666666666666666,0.3333333333333333,False
2,0.0016149999999868214,0.9074074074074073,0.06481481481481483,False
3,0.0015919999999880474,1.007201646090535,0.021604938271604923,False
4,0.0018369999999947595,1.0470893347050754,0.006901577503429374,False
5,0.001589999999993097,1.0633142734212264,0.002257658893461365,False
6,0.0015870000000006712,1.0699687320505709,0.0008378899303967888,False
7,0.0015760000000000218,1.072686287944348,0.0002952504664205449,False
8,0.001586000000003196,1.0738035292838894,0.00011177690850207355,False
9,0.0015799999999899228,1.0742670581897327,4.162836466938685e-05,False
10,0.0016219999999975698,1.0744608191371658,1.5796757114006576e-05,False
11,0.0015850000000057207,1.0745422626803998,6.087747930206156e-06,True
