params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.5455149999999946,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.5741110000000162,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.656722000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.4241429999999866,100,0.0003311965811965812,0.0,0.0,0.019230769230769232,0.002348945725714776
"{""discount_factor"": 0.4}",2.396500000000003,100,0.00044907878931811846,0.0,0.0,0.009900990099009901,0.0018262559463700415
"{""discount_factor"": 0.5}",2.4013769999999965,100,0.0030764342028722067,0.0,0.0,0.02857142857142857,0.007156038488590594
"{""discount_factor"": 0.6}",2.43006299999999,100,0.009412833038236637,0.008706185176773412,0.0,0.05,0.010680010118377091
"{""discount_factor"": 0.7}",2.4987660000000176,100,0.010747991687227055,0.00939982347749338,0.0,0.04,0.01085127005223553
"{""discount_factor"": 0.8}",2.4129759999999862,100,0.011261514640807893,0.011173533083645444,0.0,0.04,0.01009941897035224
"{""discount_factor"": 0.9}",2.4882450000000063,100,0.015376454665247199,0.015873015873015872,0.0,0.041666666666666664,0.010283250776202077
