params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",7.0184169999999995,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",7.058713999999981,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",7.102240999999992,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",7.0923290000000065,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",7.216587000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",7.134305000000012,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",7.218744999999984,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",7.487019999999973,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",7.557763999999992,100,0.00012087526607398501,0.0,0.0,0.0029585798816568047,0.0005366204552438165
"{""discount_factor"": 0.9}",8.829439000000008,100,0.0010386371049611485,0.0,0.0,0.0125,0.0023289964310910915
