episode,length,time,reward,delta
0,27.0,0.0013306303542321984,-3.700000000000001,-1.0002991349881718
1,35.0,0.001580656878559239,-4.500000000000002,-1.0001784342809843
2,42.0,0.0018710744911913935,-5.200000000000001,-0.9503833810599844
3,33.0,0.001485936932340337,-4.300000000000002,-0.9998140535163771
4,17.0,0.0007918928827166383,-2.7,-1.0001201750685647
5,59.0,0.00272326956201141,-6.899999999999995,-1.0003402635317864
6,12.0,0.0005759996722645155,-2.2,-0.9997845521834064
7,21.0,0.0009651194509388006,-3.1000000000000005,-1.000229200633115
8,64.0,0.0028117317338001158,-7.399999999999993,-0.9497958078197738
9,14.0,0.000662470734141607,-2.4000000000000004,-1.0001891430258931
10,14.0,0.0006596262915081752,-2.4000000000000004,-0.9249304379190628
11,7.0,0.00036181312748340133,-1.7,-0.9500708118289062
12,40.0,0.0017726567693898687,-5.000000000000002,-1.0001705221601354
13,78.0,0.003385740296153017,-8.799999999999988,-0.9498002285905999
14,11.0,0.0005327641413259698,-2.0999999999999996,-0.8826553260702832
15,17.0,0.0007890484400832065,-2.7,-0.9996935600603095
16,19.0,0.0009398039098869049,-2.9000000000000004,-0.9502641228519992
17,42.0,0.0018961055880026834,-5.200000000000001,-0.950086347033696
18,66.0,0.0029115716770320432,-7.5999999999999925,-0.9498016602761387
19,19.0,0.0009102217043164273,-2.9000000000000004,-0.9079131178145874
20,61.0,0.0027059184606059716,-7.099999999999994,-1.0000046379282908
21,66.0,0.0029701671992370393,-7.5999999999999925,-1.0002451993765533
22,25.0,0.0011810126613909233,-3.500000000000001,-1.0000888097008365
23,24.0,0.0010939727110326203,-3.400000000000001,-0.999453770968615
24,26.0,0.0011838571042517287,-3.600000000000001,-0.9999530917199199
25,52.0,0.0023045675777666474,-6.1999999999999975,-0.999766647126559
26,13.0,0.0006269151988362864,-2.3,-0.6612414617165452
27,5.0,0.00027591095408752153,-1.5,-0.6517368468675698
28,28.0,0.0012677681677359942,-3.800000000000001,-0.949837701293198
29,26.0,0.0012444437363683392,-3.600000000000001,-0.8281427883814308
30,52.0,0.002236869838725397,-6.1999999999999975,-0.7877311167225505
31,23.0,0.0010245683060929878,-3.3000000000000007,-0.5772344015896974
32,168.0,0.007075267086065651,-17.79999999999997,-1.0000155498403493
33,107.0,0.004585526280379781,-11.699999999999978,-0.7792746717393383
34,26.0,0.0011440349048825738,-3.600000000000001,-0.9500344815864787
35,65.0,0.002768780647102176,-7.499999999999993,-1.0002890050597515
36,58.0,0.002513634125534736,-6.799999999999995,-0.5000852610800677
37,32.0,0.001396621427829814,-4.200000000000001,-0.9243628487049229
38,76.0,0.003267411474553228,-8.599999999999989,-1.0001493767869913
39,50.0,0.0021825409805842355,-5.999999999999998,-0.9184917639890297
40,66.0,0.0028194117292059673,-7.5999999999999925,-0.9082680904655044
41,19.0,0.0008581684007822332,-2.9000000000000004,-0.5568553603378521
42,8.0,0.0003922486657756963,-1.7999999999999998,-0.7251156102426821
43,144.0,0.006049845447250846,-15.399999999999965,-0.9999506181190639
44,20.0,0.0008942928245687654,-3.0000000000000004,-0.7121827152056456
45,14.0,0.0006408529686723341,-2.4000000000000004,-0.7669610154148753
46,44.0,0.0019265411260676046,-5.4,-0.28861720079484876
47,50.0,0.002144994335139927,-5.999999999999998,-0.9247181327862969
48,101.0,0.004258699799493115,-11.09999999999998,-0.4998833235632796
49,44.0,0.0018924078124200605,-5.4,-0.9996075702767421
50,66.0,0.0027949495211032627,-7.5999999999999925,-0.9996517737335758
51,99.0,0.004180477621957834,-10.89999999999998,-0.9999790559442787
52,28.0,0.001221688193936643,-3.800000000000001,-0.9499088890994515
53,73.0,0.003097313793432477,-8.29999999999999,-1.0000917356367447
54,53.0,0.002333012006147328,-6.299999999999997,-1.0004846685290711
55,28.0,0.0012248170810380543,-3.800000000000001,-0.6508511219686595
56,30.0,0.0013075903673325229,-4.000000000000002,-0.9998613550548267
57,64.0,0.0027172962318218197,-7.399999999999993,-0.9121006437350125
58,70.0,0.0030242116129102214,-7.999999999999991,-0.4999753090595319
59,25.0,0.0011005149294760486,-3.500000000000001,-0.6245758406784869
60,37.0,0.0016005679783575033,-4.700000000000002,-0.841268607497389
61,34.0,0.001474559161124489,-4.400000000000002,-0.4751320614259996
62,97.0,0.004145775419374331,-10.699999999999982,-0.602822786150552
63,11.0,0.0005182574830087106,-2.0999999999999996,-0.5536924274801747
64,42.0,0.0018170300772908377,-5.200000000000001,-0.9211995104433899
65,63.0,0.0027195717862014135,-7.299999999999994,-0.9493728926478545
66,38.0,0.0016455101751944312,-4.8000000000000025,-0.64186057335663
67,38.0,0.0016418123993844347,-4.8000000000000025,-1.000511428078612
68,19.0,0.0008502039609084022,-2.9000000000000004,-0.5000945715129466
69,63.0,0.002754842877266128,-7.299999999999994,-0.9497595464773838
70,33.0,0.0014367280714395747,-4.300000000000002,-0.47501724079323937
71,97.0,0.0041096509953604254,-10.699999999999982,-0.9075450071856581
72,35.0,0.001532301350380294,-4.500000000000002,-0.9328563661148753
73,65.0,0.002761669540177536,-7.499999999999993,-1.0004865321499956
74,14.0,0.0006360174158999143,-2.4000000000000004,-0.8225477757715831
75,153.0,0.006444085222938156,-16.29999999999996,-0.9505455488275063
76,16.0,0.0007227729222449852,-2.6000000000000005,-0.6973191835613184
77,35.0,0.0015169413593412173,-4.500000000000002,-0.5000023189641454
78,127.0,0.005402165815667104,-13.69999999999997,-0.999711715264715
79,27.0,0.0011795904401878943,-3.700000000000001,-0.6186890494097055
80,21.0,0.0009318394697857002,-3.1000000000000005,-0.6475248545606953
81,21.0,0.0009241594743798487,-3.1000000000000005,-0.7672444546897645
82,42.0,0.001987696647120174,-5.200000000000001,-0.9996606925936045
83,38.0,0.0017578656668320036,-4.8000000000000025,-0.9996758650328103
84,32.0,0.0015226302448354545,-4.200000000000001,-0.932784769598673
85,88.0,0.0038408511484249175,-9.799999999999985,-0.9998590082994123
86,82.0,0.0034753402451315196,-9.199999999999987,-1.0002851665642645
87,23.0,0.0010237149731437967,-3.3000000000000007,-0.9500181115930155
88,17.0,0.0008041239871090511,-2.7,-0.7814870023905279
89,57.0,0.0024561763802921632,-6.699999999999996,-0.7512017680500152
90,42.0,0.0018173145217588171,-5.200000000000001,-0.9997215906768052
91,27.0,0.0012231104151396721,-3.700000000000001,-0.25004263054003384
92,27.0,0.00119779487431515,-3.700000000000001,-0.799833122235924
93,39.0,0.0016796434888419753,-4.900000000000002,-0.4664281830574376
94,58.0,0.002461580822000542,-6.799999999999995,-0.7214534439023834
95,59.0,0.002583607419182954,-6.899999999999995,-0.9500989364886813
96,76.0,0.0032116603952090372,-8.599999999999989,-0.8402664041794605
97,106.0,0.00457414850893656,-11.599999999999978,-0.949679574000544
98,52.0,0.0024502030505573202,-6.1999999999999975,-0.4749544445497257
99,42.0,0.0019043544723444938,-5.200000000000001,-0.6007082243066919
100,53.0,0.0023697053186424455,-6.299999999999997,-0.9502825756804476
101,16.0,0.0007753951144877647,-2.6000000000000005,-0.6149773989230556
102,92.0,0.004064424354282892,-10.199999999999983,-0.8739665032384929
103,127.0,0.005581934602332694,-13.69999999999997,-0.9998820149040101
104,36.0,0.0016932968144374172,-4.600000000000001,-0.9495168171819282
105,19.0,0.0008891728275557398,-2.9000000000000004,-0.90779340887521
106,23.0,0.0010663816156011308,-3.3000000000000007,-0.9496550227466369
107,30.0,0.001369599220879536,-4.000000000000002,-0.5846067133203887
108,50.0,0.0022399987258268084,-5.999999999999998,-0.2499416617816398
109,128.0,0.005613507917814786,-13.79999999999997,-0.9996080836717965
110,44.0,0.001991109978462191,-5.4,-0.8477104661797327
111,52.0,0.0023358564490081335,-6.1999999999999975,-0.9996779905033674
112,162.0,0.007269542531048501,-17.19999999999996,-0.9076754945804231
113,40.0,0.001816461188809626,-5.000000000000002,-0.6005161224076544
114,55.0,0.0024575986019499396,-6.4999999999999964,-0.5303220147722887
115,42.0,0.0018949678108128865,-5.200000000000001,-0.6844529236114822
116,69.0,0.003058913815266351,-7.8999999999999915,-0.7959293573632307
117,57.0,0.002565687429296304,-6.699999999999996,-0.5000458678183723
118,23.0,0.0010680882812721393,-3.3000000000000007,-0.7814675367877962
119,61.0,0.0027693495355833875,-7.099999999999994,-0.9995938399318637
120,88.0,0.004052477694585832,-9.799999999999985,-0.2500229339091862
121,64.0,0.002903038348449627,-7.399999999999993,-0.49983899525168374
122,36.0,0.0016884612616649974,-4.600000000000001,-0.7935760453405865
123,162.0,0.007218911448717336,-17.19999999999996,-0.8035781224787486
124,81.0,0.0036067535036181653,-9.099999999999987,-0.9330093677200441
125,48.0,0.0021236610141386336,-5.799999999999999,-0.39991656111796203
126,32.0,0.001433883628806143,-4.200000000000001,-0.5829647023131186
127,86.0,0.004227410928251629,-9.599999999999985,-0.19995828055898102
128,48.0,0.002350931996033978,-5.799999999999999,-0.7187802514499675
129,48.0,0.002342114223210956,-5.799999999999999,-0.8888892032851338
130,73.0,0.003333686992391449,-8.29999999999999,-0.1250114669545931
131,84.0,0.003645722370265503,-9.399999999999986,-1.000345780282374
132,172.0,0.007561382365111058,-18.199999999999974,-0.9328579022306145
133,26.0,0.001175608220137292,-3.600000000000001,-0.29230335666019436
134,151.0,0.00670122285441721,-16.099999999999962,-1.000345824183853
135,61.0,0.0026712162580224685,-7.099999999999994,-0.9995490244099134
136,53.0,0.002472674148975784,-6.299999999999997,-0.8552248753346493
137,72.0,0.003136567104547794,-8.19999999999999,-0.8583958857894267
138,48.0,0.002148407666481944,-5.799999999999999,-0.7886416609293927
139,110.0,0.004764157289628201,-11.999999999999977,-0.9021119894931167
140,134.0,0.00569059231816027,-14.399999999999968,-0.39796467868161534
141,171.0,0.00723427144021116,-18.099999999999973,-0.499803785138371
142,72.0,0.0031539182059532322,-8.19999999999999,-0.8950233290126843
143,41.0,0.0017988256433909555,-5.100000000000001,-0.9993709838594996
144,45.0,0.002037189952261542,-5.5,-0.3756008840250076
145,54.0,0.002329598674805311,-6.399999999999997,-1.0001790616747508
146,86.0,0.003651126811746508,-9.599999999999985,-0.9327116388899395
147,48.0,0.002060229938933844,-5.799999999999999,-0.949644317022167
148,73.0,0.0031701315297141264,-8.29999999999999,-0.9247883528066416
149,109.0,0.004665739567826677,-11.899999999999977,-0.9500895225426274
150,100.0,0.004247037583809288,-10.99999999999998,-0.9998924898194614
151,37.0,0.0016122301940413308,-4.700000000000002,-0.9078234196689035
152,105.0,0.004475446342894429,-11.499999999999979,-0.8063893528959807
153,107.0,0.004515268542490958,-11.699999999999978,-0.4750447612713137
154,70.0,0.0030537938182533253,-7.999999999999991,-0.9244157352150942
155,33.0,0.0014347369615279604,-4.300000000000002,-0.6352908232838572
156,49.0,0.002101474360188149,-5.899999999999999,-0.5864635147111497
157,59.0,0.0025201763439781644,-6.899999999999995,-0.9505953441813046
158,157.0,0.006817560565878011,-16.69999999999996,-0.9330309458546318
159,43.0,0.001860265608456757,-5.300000000000001,-0.5000895308373755
160,60.0,0.002701651796542137,-6.999999999999995,-0.7329277804844876
161,12.0,0.0005617774581878621,-2.2,-0.516085809575086
162,69.0,0.0029531005422995804,-7.8999999999999915,-0.9247889335075808
163,189.0,0.007949648810836152,-19.9,-0.6371191446387968
164,132.0,0.005593596817789148,-14.199999999999969,-0.9505700346224683
165,127.0,0.005383961381539848,-13.69999999999997,-0.7445137606607637
166,57.0,0.0026436251628183527,-6.699999999999996,-0.23756603071299986
