steps,time,reward,delta,converged
1,0.0010690000000010969,53.39999999999998,100.4,False
2,0.0009129999999970551,238.35999999999999,40.0,False
3,0.0009259999999926549,367.28799999999995,16.0,False
4,0.0009149999999920055,440.8367999999999,6.400000000000006,False
5,0.0009170000000153777,478.0131200000002,2.5600000000000023,False
6,0.0009110000000021046,495.9863680000002,1.024000000000001,False
7,0.001863000000014381,503.8426598399999,0.4096000000000011,False
8,0.0011230000000068685,507.2823823359999,0.16384000000000043,False
9,0.0011259999999992942,508.7678475264,0.0655360000000087,False
10,0.0010819999999966967,509.4054970777601,0.026214400000014848,False
11,0.00107500000001437,509.67794228838414,0.010485760000008781,False
12,0.001285999999993237,509.79405370933256,0.004194304000009197,False
13,0.0012389999999982138,509.8405856534529,0.0016777216000036788,False
14,0.0010200000000111231,509.859198431101,0.0006710886400043137,False
15,0.0010210000000085984,509.86664354216026,0.0002684354560074098,False
16,0.0010110000000054242,509.8696215865839,0.0001073741824058061,False
17,0.0011320000000125674,509.8708128043534,4.294967296303298e-05,False
18,0.0011829999999974916,509.8712892914612,1.717986918947645e-05,False
19,0.0010800000000017462,509.87147988630426,6.8719476757905795e-06,True
