steps,time,reward,delta,converged
1,0.0030631804796144024,-15.945777162756121,4.925000000000006,False
2,0.003022504947210791,-24.601521869292387,2.93624999999185,False
3,0.003007998288779845,-28.513061776171686,1.545687474332971,False
4,0.0034121936143947096,-29.720079496333433,0.9490255983658233,False
5,0.002914131675538556,-29.764965154740548,0.6713931629620018,False
6,0.00282453172650321,-29.420078836342498,0.4579913477272033,False
7,0.0033544514250252178,-29.012952388255954,0.30808332496431057,False
8,0.0028586650404065495,-28.66798056268438,0.21594175692865375,False
9,0.002944851658043035,-28.362565739958317,0.1538015558750564,False
10,0.0031536337615136745,-28.062770653066874,0.10505464113111493,False
11,0.002894505020009319,-27.738746426868545,0.07652324424168563,False
12,0.003169847085615629,-27.382981778387503,0.054041659722782354,False
13,0.0029977582946116854,-27.023213269573322,0.03783145039513658,False
14,0.003500371341999653,-26.695194936647304,0.026761813909924936,False
15,0.0031559093157511597,-26.419429986434174,0.019601838367669322,False
16,0.0030301849428155947,-26.20088734842856,0.014217079473459737,False
17,0.0034807446865272595,-26.033416039236545,0.010208819625546595,False
18,0.0029539538750782413,-25.907411733540826,0.0073186870550699945,False
19,0.0028922294657434122,-25.81306217125464,0.005251447527417297,False
20,0.0052966369867988305,-25.742344435732363,0.003606202405784298,False
21,0.0033883002946595298,-25.688368840096018,0.0024878393546375888,False
22,0.0033521758707593108,-25.646783567624283,0.001791644204337195,False
23,0.0030404249369837544,-25.61485526346508,0.0012477328051556658,False
24,0.0033211714439573825,-25.590155989335138,0.0008618704669634547,False
25,0.0030227893914798187,-25.571203034780858,0.000591426492685454,False
26,0.003137989325949775,-25.556610662444,0.0004013631154511921,False
27,0.004181046510353781,-25.545533575698087,0.000288005006762293,False
28,0.003713420109704657,-25.537154622464083,0.00021377154766544226,False
29,0.0033106470054917736,-25.530921057214684,0.00016721858652435362,False
30,0.003071144919516655,-25.52638954415497,0.00012690745943838566,False
31,0.0034551447010926495,-25.52312031937256,9.63812787903029e-05,False
32,0.0030956071278183117,-25.52078200510492,6.978315490746567e-05,False
33,0.003040140492714727,-25.51911979950514,4.8620027617740647e-05,False
34,0.005989827703558603,-25.51794741258216,3.2822841604662756e-05,False
35,0.003268264807388732,-25.517125431149964,2.1583969425031935e-05,False
36,0.003278789245854341,-25.516557429180725,1.3883523700963796e-05,False
37,0.0031468070987159535,-25.516171121769528,9.008731806925407e-06,True
